Word,Conc,SUBTLEX,AoA
roadsweeper,4.85,0,9.83
traindriver,4.54,0,8.34
tush,4.45,66,8.29
hairdress,3.93,1,8.86
pharmaceutics,3.77,0,13.88
hoover,3.76,162,9.16
shopkeeping,3.18,0,11.07
pushiness,2.48,0,8.5
underdevelop,2.37,0,10.88
tirelessness,2.28,0,10.12
oldfashioned,2.26,0,8.61
wellmannered,2.25,0,8.21
dismissiveness,1.83,0,12.13
spitefulness,1.8,0,11.22
untruthfulness,1.73,0,8.96
dispiritedness,1.56,0,14.67
sled,5.0,149,4.89
plunger,4.96,48,9.63
human,4.93,6363,4.83
waterbed,4.93,27,7.17
cymbal,4.92,13,9.94
ginger,4.92,327,8.05
bobsled,4.9,48,9.38
cardboard,4.9,138,5.4
olive,4.9,375,6.68
dogsled,4.89,2,7.71
rubber,4.86,714,7.62
soybean,4.82,25,11.6
tangerine,4.81,38,8.15
headrest,4.8,6,7.68
eucalyptus,4.77,25,10.62
saltwater,4.77,31,9.39
armrest,4.76,8,6.56
paramedic,4.74,107,9.89
liquid,4.72,395,5.83
billfold,4.71,12,9.38
canine,4.71,86,8.45
flowerbed,4.71,6,7.05
soy,4.7,118,13.56
bald,4.69,496,7.26
lilac,4.69,39,8.89
hemorrhoid,4.68,18,13.88
orange,4.66,1138,3.26
arachnid,4.65,13,11.88
underarm,4.63,4,7.29
barefoot,4.62,121,5.25
bearded,4.62,65,7.2
thyroid,4.61,28,13.83
wooden,4.61,367,5.89
sleeveless,4.6,5,6.75
concrete,4.59,379,7.44
panty,4.59,53,6.26
pregnant,4.59,2653,6.76
hula,4.58,100,7.72
female,4.57,1612,5.89
crematory,4.56,14,12.0
pigtailed,4.55,2,6.29
sphincter,4.54,57,13.8
backrest,4.52,1,8.35
blonde,4.52,710,6.06
farmhand,4.52,3,7.89
fat,4.52,4051,5.15
hairless,4.52,30,8.67
afghan,4.5,29,9.11
binocular,4.5,1,7.32
naked,4.5,2002,4.68
hairy,4.48,322,5.7
saline,4.48,175,11.71
sudsy,4.48,3,8.33
wet,4.46,2000,2.47
wooded,4.46,17,8.68
male,4.45,1731,5.63
rusted,4.44,36,7.39
aquamarine,4.43,23,9.94
shirtless,4.43,14,7.0
headless,4.42,67,8.72
solid,4.42,998,7.79
beaded,4.41,11,8.37
blond,4.41,533,6.72
soapy,4.41,25,5.72
woodcutting,4.41,1,8.0
prosthetic,4.4,34,11.44
roast,4.4,499,8.5
tartar,4.4,76,9.94
newborn,4.39,128,6.9
feline,4.38,46,8.43
undercooked,4.38,9,9.61
vertebrate,4.38,7,10.55
bloodstained,4.37,16,7.63
flatbed,4.37,21,9.3
joint,4.37,1405,9.05
preschool,4.37,61,4.05
beardless,4.36,8,8.0
indigo,4.36,16,8.89
frozen,4.34,782,5.6
barefooted,4.33,9,5.37
hashish,4.33,23,14.85
jeweled,4.33,15,8.06
mummified,4.33,14,10.05
paralegal,4.33,50,15.11
pleated,4.33,4,9.69
puffy,4.33,86,7.42
grassy,4.32,32,6.33
muddy,4.32,153,5.42
mustached,4.32,1,7.63
rainy,4.32,194,4.0
roundtable,4.32,3,9.84
uncircumcised,4.32,14,13.05
acrylic,4.31,23,11.56
hot,4.31,9682,3.37
sunlit,4.31,9,8.0
euro,4.3,31,13.89
giant,4.3,1380,4.72
yellow,4.3,1724,3.2
capillary,4.29,12,13.17
dark,4.29,4519,3.74
decimal,4.29,42,9.21
freshwater,4.29,35,7.72
pimpled,4.29,2,9.65
pygmy,4.29,33,12.77
redheaded,4.29,45,6.47
wrinkled,4.29,86,7.26
abdominal,4.28,174,10.24
bobsledder,4.28,5,7.58
nude,4.28,301,8.21
gunmetal,4.27,2,13.75
bloodshot,4.26,26,11.29
thorny,4.26,36,7.56
toothless,4.26,28,6.47
civilian,4.25,479,9.76
handmade,4.25,46,7.79
marine,4.25,718,9.8
octagonal,4.25,6,11.78
quilted,4.25,4,10.26
snowy,4.25,54,4.83
unshaved,4.25,2,9.74
dishwashing,4.24,17,6.37
red,4.24,7551,3.68
treeless,4.24,2,9.18
unshaven,4.24,6,10.0
dirty,4.23,3389,4.55
grilled,4.23,114,7.26
icy,4.22,135,5.83
scaly,4.22,16,7.83
cubical,4.21,1,11.2
houseguest,4.21,24,7.32
padded,4.21,55,6.83
seedless,4.21,10,7.11
sunny,4.2,391,6.17
automotive,4.19,33,7.89
bowlegged,4.19,12,9.59
dewy,4.19,12,10.17
genital,4.19,27,9.82
khaki,4.19,42,9.89
sequined,4.19,14,9.2
duplex,4.18,24,11.05
longhaired,4.18,8,7.05
sweaty,4.18,226,5.94
forehand,4.17,5,10.89
unshelled,4.17,2,9.75
stutterer,4.16,1,10.06
centerfold,4.15,34,10.8
infomercial,4.15,31,9.76
leftover,4.15,61,7.28
chalky,4.14,6,8.05
crusty,4.14,54,7.63
naval,4.14,292,9.7
skintight,4.14,8,11.39
toeless,4.14,1,8.56
whiskered,4.14,3,8.46
silky,4.12,40,9.1
unpaved,4.12,3,8.68
wastewater,4.12,1,11.53
eyeless,4.11,3,8.42
fried,4.11,518,7.47
manicured,4.11,18,11.85
minty,4.11,25,7.9
multicolored,4.11,8,7.11
quadriplegic,4.11,1,13.5
rectangular,4.11,22,5.42
sockless,4.11,1,6.79
sole,4.11,268,7.06
topless,4.11,100,10.11
bifocal,4.1,1,11.39
waxy,4.1,20,8.05
bicuspid,4.09,5,12.5
fluorine,4.09,5,13.47
bloody,4.08,1962,5.83
starry,4.08,37,7.89
sugared,4.08,9,7.0
bathing,4.07,379,3.84
blooming,4.07,81,7.17
breaded,4.07,11,9.11
bronzed,4.07,17,10.0
creaky,4.07,12,6.89
dead,4.07,22898,5.17
dorsal,4.07,27,13.0
earless,4.07,4,9.33
green,4.07,3696,3.79
hieroglyphic,4.07,7,12.0
legless,4.07,6,8.37
pubic,4.07,60,10.47
spiky,4.07,11,7.67
stagehand,4.07,28,11.0
tabloid,4.07,56,10.95
triangular,4.07,12,7.8
underground,4.07,613,7.37
bioluminescent,4.05,3,15.67
ceramic,4.04,62,8.37
crispy,4.04,116,6.39
cupful,4.04,1,6.4
freezing,4.04,680,6.05
