Word,PhonDISC,num_sylls_est,num_homophones,neighborhood_size,p_normalized,meanings,num_phones,normalized_surprisal
a,1,1,6,34,0.0003821705965233,7,1,5.240940880235155
able,1bP,1,0,8,0.0001346292114389,1,3,1.898019616145166
ace,1s,1,0,26,0.0003068248739981,1,2,2.668153792954703
ache,1k,1,1,25,0.0004356537695815,2,2,2.5920283371220876
act,{kt,1,1,9,8.836195394402356e-05,2,3,1.9589776132033645
action,{kSH,1,0,3,5.6811252001112776e-05,1,4,1.517190947531562
Acts,{kts,1,0,2,1.1380257422523785e-07,1,4,2.1917615161243016
ad,{d,1,1,25,0.0004674348620857,2,2,2.576738525383256
addle,{dP,1,0,6,0.0001667570877212,1,3,1.8670379495115783
adze,{dz,1,0,5,2.1370288252485327e-05,1,3,2.1644625900930095
aft,#ft,1,0,9,6.283666284117734e-05,1,3,2.0083283460614187
age,1_,1,1,19,0.000395130099911,2,2,2.6132290180821607
aged,1_d,1,0,3,6.358474941886132e-05,1,3,2.0066150621114693
ah,#,1,0,23,0.0001124133819247,1,1,5.772380136813917
aid,1d,1,2,24,0.0003891183874758,3,2,2.616558198463046
ail,1l,1,1,35,0.0003474072297411,2,2,2.6411796491656956
aim,1m,1,1,23,0.0002586014730053,2,2,2.7052835780693805
air,8R,1,4,19,0.0005349430698743,5,2,2.547445292396893
airs,8z,1,0,8,0.0006177140742528,1,2,2.516205326927567
aisle,2l,1,1,25,0.0004904832669159,2,2,2.5662869773285704
aitch,1J,1,2,15,7.075583060961034e-06,3,2,3.4867179584469437
Al,{l,1,0,25,9.945574418838036e-05,1,2,2.912784139527864
alb,{lb,1,0,7,2.010082471787726e-05,1,3,2.173328091323864
all,$l,1,3,25,0.0004588531316009,4,2,2.5807622252040563
alms,#mz,1,1,5,2.531553764497101e-05,2,3,2.1399369983978813
alp,{lp,1,0,9,1.2053672919977298e-05,1,3,2.247359582623181
amble,{mbP,1,1,4,3.99908513270044e-05,2,4,1.555309375234643
amp,{mp,1,0,13,0.0002313174330202,1,3,1.8196632620841076
ample,{mpP,1,0,3,6.961620556889228e-06,1,4,1.745121950519212
an,{n,1,0,24,0.0003470381721547,1,2,2.641410451598741
anal,1nP,1,0,1,5.178209927777717e-08,1,3,3.036339499144184
and,{nd,1,0,13,0.0001479473695045,1,3,1.88436363420516
angle,{NgP,1,1,8,0.0001903170790475,2,4,1.3859300967110333
angst,{Nst,1,0,0,7.960036173086016e-07,1,4,1.9805707772819932
