PhonDISC,wordform_frequency
#,1208
"#""tIkjUl1SH",29
"#""tizj@nwEl",1
#J@R,113
#J@rI,9
"#JbIS@p\144
#JbIS@prIk",1
"#Jd2@sIs\3
#Jdjuk",6
"#Jdik@n\14
#Jdik@nrI",1
#T@R,446
#Tr2tIs,59
#TrItIk,47
#_@nt2n,124
"#_@ntIn7n\19
#_@ntIn7n",27
"#_Ib#_I\1
#r7\33
{rId\96
{rId@tI\5
{rIdlI\1
8riz\2
8riz\6
@r2t\13
@r2z\1088
{rIstQkr@sI",111
#b$r7l,13
"#b@rit@m\2
#b@R\24
#k\144
#k\4
#k1d\72
#k1dj@\12
#k1dj@n\10
#k1dj@n\1
#k1n\17
#J\308
#J\150
#J\14
#k7lQ_IkP",75
#bItr1t@R,17
#ft,20
#ft@R,20716
#ft@S1v,3
"#ft@S1v""l5SH",1
#ft@T$t,48
#ft@gl5,5
#ft@l2f,31
#ft@m{T,74
"#ft@nun\1949
#ft@nun\294
#ft@nunz",4
"#ft@r$l\0
#ft@b3T\7
#ft@k8R\3
#ft@d{mp\0
#ft@rIfEkt",7
#ft@t1st,3
#ft@w@d,123
#ft@w@dz,887
#g5,6
#g@n$t,3
#gQn,5
#gj9bP,28
#gj9blI,40
#gjUm@nt,2340
"#gjUmEnt1SH\3
#gjUmEnt@tIv",27
"#gjUmEnt@tIvlI\1
#g@s\33
#g@s2d",3
#gju,2131
#h#,61
#k,56
"#k7lQ_Ik@lI\2
#kIQl@_Ist",72
"#k@tIpIk@lI\2
#kIm{ndr2t",1
"#kIQl@_I\164
#k1Ik\124
#k1Ik@lI\1
#k1Iz@m\5
#k1n_@l",18
"#kIpElIg5\16
#kItEkt\331
#kItEkJ@r@l",126
"#kIt2pP\41
#kIt2p\24
#kItIpIkP",1
"#kItEkJ@r@lI\14
#kItEkJ@R\340
#k2vz\78
#kIvIst\13
#JlI\11
#Jw1\48
#kl{mp\1
#kl2t\2
#ktIk\90
#ktIk\29
#ktIks3kP",1
